Financial  Year,Payee_Name,Part_Postcode,Town,Parliamentary Constituency,County Council,Scheme,scheme detail,activity level,Amount
21/22,Farmer R,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,24618
21/22,Farmer S,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,25904
21/22,Farmer Sam,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,34378
21/22,Farmer Sam,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Hedgerow,High,24682
21/22,Farmer Sam,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Improved Grassland,High,29065
21/22,Farmer Sam,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,14903
21/22,Farmer Sam,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Improved Grassland,Medium,1815
21/22,Farmer Sam,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Improved Grassland,Low,4032
21/22,Farmer Sam,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Low and no input Grassland,High,10295
21/22,Farmer Sam,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,35052
21/22,Farmer Sam,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Hedgerow,High,26312
21/22,Farmer Sam,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,35733
21/22,Farmer Sam,EX17, Washford Pyne , Central Devon , Devon,Farming Equipment and Technology Fund,,N/a,29650
21/22,Farmer Sam,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,32322
21/22,Farmer Sarah,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,On farm woodland,Low,31328
21/22,Farmer Sarah,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,21309
21/22,Farmer Sarah,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Improved Grassland soils,High,30673
21/22,Farmer Sarah,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,28593
21/22,Farmer Sarah,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,29726
21/22,Farmer Sarah,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,On farm woodland,Medium,29011
21/22,Farmer Sarah,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Hedgerow,High,34341
21/22,Farmer Sarah,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Low and no input Grassland,High,31832
21/22,Farmer Shan ,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Low and no input Grassland,High,4991
21/22,Farmer Shan ,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Hedgerow,High,1603
21/22,Farmer Shan ,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,On farm woodland,Low,19034
21/22,Farmer Shan ,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,32641
21/22,Farmer Shan ,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,On farm woodland,High,21822
21/22,Farmer Shan ,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,1923
21/22,Farmer Shan ,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,32021
21/22,Farmer Shan ,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Improved Grassland,High,35071
21/22,Farmer Shan ,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,17562
21/22,Farmer Sidd,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,11979
21/22,Farmer Sidd,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,On farm woodland,Low,23295
21/22,Farmer Sidd,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,35102
21/22,Farmer Sidd,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Hedgerow,High,8631
21/22,Farmer Sidd,DE22, Derby,   Derby North , None,Farming Equipment and Technology Fund,,N/a,5891
21/22,Farmer Sidd,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,8033
21/22,Farmer Sidd,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,On farm woodland,Low,17924
21/22,Farmer Sidd,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,12550
21/22,Farmer Sidd,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Improved Grassland,Medium,28694
21/22,Farmer T,SL2, Hedgerley , Beaconsfield , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,10485
21/22,Farmer Vel,SL2, Hedgerley , Beaconsfield , None,Sustainable Farming Incentive pilot,On farm woodland,High,9313
21/22,Farmer Vel,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Farming Equipment and Technology Fund,,N/a,11965
21/22,Farmer Vel,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Low and no input Grassland,High,4954
21/22,Farmer Vel,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,On farm woodland,Low,25986
21/22,Farmer Vel,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Low and no input Grassland,High,22329
21/22,Farmer Vel,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,31109
21/22,Farmer Vel,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland,High,18836
21/22,George George,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,3555
21/22,George George,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,35050
21/22,George George,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland,High,13376
21/22,George George,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Hedgerow,Low,26475
21/22,Gia Reilly,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Hedgerow,High,24129
21/22,Gia Reilly,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,On farm woodland,High,3656
21/22,Gia Reilly,DG2, None , Dumfries and Galloway , None,Sustainable Farming Incentive pilot,Low and no input Grassland,High,17236
21/22,Gia Reilly,DG2, None , Dumfries and Galloway , None,Sustainable Farming Incentive pilot,Hedgerow,Medium,21210
21/22,Gia Reilly,DG2, None , Dumfries and Galloway , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,17629
21/22,Gia Reilly,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,2681
21/22,Giana Weber,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Farming Equipment and Technology Fund,,N/a,6799
21/22,Giana Weber,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,On farm woodland,Low,25370
21/22,Giana Weber,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,35515
21/22,Giana Weber,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,11185
21/22,Giana Weber,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,10153
21/22,Giana Weber,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Hedgerow,Medium,22709
21/22,Giana Weber,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Hedgerow,Low,30479
21/22,Gisselle Cummings,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,35154
21/22,Gisselle Cummings,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Low and no input Grassland,High,35944
21/22,Gisselle Cummings,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,11240
21/22,Gregory Mcconnell,EC1R , Islington,   Islington South and Finsbury , None,Farming Equipment and Technology Fund,,N/a,27378
21/22,Gregory Mcconnell,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,15990
21/22,Gregory Mcconnell,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,21666
21/22,Gregory Mcconnell,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,29886
21/22,Hana Moon,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,33489
21/22,Hana Moon,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,6271
21/22,Hana Moon,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Improved Grassland,Low,17950
21/22,Hana Moon,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Hedgerow,High,12889
21/22,Hana Moon,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,1509
21/22,Haylie Cervantes,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Low and no input Grassland,High,31888
21/22,Haylie Cervantes,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,23939
21/22,Haylie Cervantes,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,3909
21/22,Haylie Cervantes,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,On farm woodland,High,6758
21/22,Haylie Cervantes,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Hedgerow,Low,14214
21/22,Haylie Cervantes,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Improved Grassland,Low,6156
21/22,Haylie Cervantes,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,On farm woodland,Low,30991
21/22,Haylie Cervantes,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,27766
21/22,Haylie Cervantes,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Improved Grassland,Medium,1832
21/22,Hazel Esparza,DA1, Dartford,   Dartford , Kent,Sustainable Farming Incentive pilot,Hedgerow,Medium,17761
21/22,Hazel Esparza,DA1, Dartford,   Dartford , Kent,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,2352
21/22,Hazel Esparza,DA1, Dartford,   Dartford , Kent,Sustainable Farming Incentive pilot,Hedgerow,Low,30247
21/22,Hazel Esparza,DA1, Dartford,   Dartford , Kent,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,34841
21/22,Hazel Esparza,CW11, Sandbach , Congleton , None,Farming Equipment and Technology Fund,,N/a,31524
21/22,Hazel Esparza,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,15122
21/22,Hazel Esparza,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,13899
21/22,Isabela Barnes,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Hedgerow,High,1472
21/22,Isabela Barnes,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,7565
21/22,Isabela Barnes,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,28422
21/22,Isabela Barnes,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,17544
21/22,Izabella Adkins,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,2558
21/22,Izabella Adkins,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,3315
21/22,Izabella Adkins,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,21270
21/22,Izabella Adkins,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,29225
21/22,Izabella Adkins,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,24754
21/22,Izabella Adkins,SN3, Covingham , North Swindon , None,Farming Equipment and Technology Fund,,N/a,32554
21/22,Jadiel Suarez,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,32920
21/22,Jadiel Suarez,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,5821
21/22,Jaelyn Vega,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Improved Grassland,Low,7813
21/22,Jaelyn Vega,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,26423
21/22,Jaelyn Vega,EX17, Washford Pyne , Central Devon , Devon,Farming Equipment and Technology Fund,,N/a,12146
21/22,Jaelyn Vega,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Hedgerow,High,10208
21/22,Jaelyn Vega,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,On farm woodland,High,8608
21/22,Janessa Hubbard,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,On farm woodland,High,10211
21/22,Janessa Hubbard,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,31441
21/22,Janessa Hubbard,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Low and no input Grassland,High,28131
21/22,Janessa Hubbard,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,On farm woodland,High,11685
21/22,Janessa Russell,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,21355
21/22,Janessa Russell,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,11276
21/22,Janessa Russell,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,5654
21/22,Janessa Russell,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,28253
21/22,Janessa Russell,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Improved Grassland soils,High,19681
21/22,Jasmin Bush,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,24819
21/22,Jasmin Bush,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Improved Grassland,Medium,29216
21/22,Jasmin Bush,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Hedgerow,High,23975
21/22,Jasmin Bush,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,10765
21/22,Javion Winters,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,28256
21/22,Javion Winters,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,19397
21/22,Javion Winters,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,4468
21/22,Javion Winters,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,9243
21/22,Javon Randolph,L37, Formby , Sefton Central , None,Farming Equipment and Technology Fund,,N/a,30726
21/22,Javon Randolph,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Improved Grassland soils,High,31338
21/22,Javon Randolph,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,On farm woodland,Low,22816
21/22,Javon Randolph,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,On farm woodland,High,21114
21/22,Javon Randolph,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Hedgerow,Low,35613
21/22,Javon Randolph,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,8682
21/22,Javon Randolph,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Improved Grassland soils,High,28817
21/22,Javon Randolph,DE22, Derby,   Derby North , None,Farming Equipment and Technology Fund,,N/a,33585
21/22,Jazmin Forbes,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,25845
21/22,Jazmin Forbes,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,17159
21/22,Jazmin Forbes,SL2, Hedgerley , Beaconsfield , None,Sustainable Farming Incentive pilot,Improved Grassland,Medium,12033
21/22,Jessica Moody,SL2, Hedgerley , Beaconsfield , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,29646
21/22,Jessica Moody,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Hedgerow,Low,11439
21/22,Jessica Moody,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Hedgerow,Medium,34042
21/22,Jordin Moyer,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,5932
21/22,Jordin Moyer,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland,High,22554
21/22,Jordin Moyer,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,5434
21/22,Jordin Moyer,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Farming Equipment and Technology Fund,,N/a,17024
21/22,Jordin Moyer,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,6087
21/22,Jordin Moyer,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Hedgerow,Low,27750
21/22,Jordin Moyer,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Farming Equipment and Technology Fund,,N/a,11293
21/22,Jordin Moyer,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland soils,High,5981
21/22,Joseph Carson,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,14118
21/22,Joseph Carson,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Farming Equipment and Technology Fund,,N/a,30174
21/22,Joseph Carson,DG2, None , Dumfries and Galloway , None,Farming Equipment and Technology Fund,,N/a,3186
21/22,Joseph Carson,DG2, None , Dumfries and Galloway , None,Sustainable Farming Incentive pilot,Low and no input Grassland,High,9076
21/22,Joseph Carson,DG2, None , Dumfries and Galloway , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,23648
21/22,Joseph Carson,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,Improved Grassland,Low,21051
21/22,Josiah Hess,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,On farm woodland,Medium,34681
21/22,Josiah Hess,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,Low and no input Grassland,High,33575
21/22,Josiah Hess,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,21317
21/22,Josiah Hess,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,On farm woodland,High,13295
21/22,Josiah Hess,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,24629
21/22,Julien Ramsey,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Hedgerow,High,16577
21/22,Julien Ramsey,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,12724
21/22,Julien Ramsey,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Improved Grassland soils,High,28828
21/22,Julien Ramsey,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,35204
21/22,Kailyn Moody,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,13949
21/22,Kailyn Moody,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,9871
21/22,Karissa Juarez,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Improved Grassland,Medium,21526
21/22,Karissa Juarez,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,30055
21/22,Kayleigh Strong,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,29677
21/22,Kayleigh Strong,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,15572
21/22,Kayleigh Strong,EC1R , Islington,   Islington South and Finsbury , None,Farming Equipment and Technology Fund,,N/a,19733
21/22,Kayleigh Strong,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Low and no input Grassland,High,19517
21/22,Kayleigh Strong,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Improved Grassland soils,High,32480
21/22,Kayleigh Strong,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Hedgerow,Low,1299
21/22,Kayleigh Strong,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,5490
21/22,Kayleigh Strong,S72, Barnsley,   Barnsley East , None,Farming Equipment and Technology Fund,,N/a,22753
21/22,Kayleigh Strong,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Improved Grassland,High,10789
21/22,Kayleigh Strong,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,22580
21/22,Keaton Nichols,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Improved Grassland soils,High,20334
21/22,Keaton Nichols,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,12135
21/22,Keaton Nichols,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Improved Grassland soils,High,28935
21/22,Keaton Nichols,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,23761
21/22,Keaton Nichols,DY3, Dudley,   Dudley North , None,Farming Equipment and Technology Fund,,N/a,17167
21/22,Keaton Nichols,DA1, Dartford,   Dartford , Kent,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,26419
21/22,Keaton Nichols,DA1, Dartford,   Dartford , Kent,Sustainable Farming Incentive pilot,On farm woodland,High,21908
21/22,Kelsie Guerrero,DA1, Dartford,   Dartford , Kent,Sustainable Farming Incentive pilot,On farm woodland,Low,2384
21/22,Kelsie Guerrero,DA1, Dartford,   Dartford , Kent,Sustainable Farming Incentive pilot,Hedgerow,Medium,31796
21/22,Kelsie Guerrero,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,26978
21/22,Kelsie Guerrero,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Improved Grassland soils,High,20790
21/22,Kelsie Guerrero,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,25180
21/22,Kelsie Guerrero,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,9594
21/22,Kelsie Guerrero,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Hedgerow,Low,28187
21/22,Kian Webb,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,31687
21/22,Kian Webb,CW11, Sandbach , Congleton , None,Farming Equipment and Technology Fund,,N/a,5220
21/22,Kian Webb,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,On farm woodland,Low,23524
21/22,Kian Webb,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,17964
21/22,Kian Webb,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,1350
21/22,Kian Webb,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Improved Grassland,Medium,19872
21/22,Kimora Terrell,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,7884
21/22,Kimora Terrell,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,22241
21/22,Kimora Terrell,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,6461
21/22,Kimora Terrell,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,11452
21/22,King Fuller,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,30110
21/22,King Fuller,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,6645
21/22,King Fuller,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Improved Grassland,Low,6602
21/22,King Fuller,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,35649
21/22,King Fuller,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,30712
21/22,Kole Meyer,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,29796
21/22,Kole Meyer,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Improved Grassland,Low,8336
21/22,Kole Meyer,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,On farm woodland,High,33801
21/22,Kole Meyer,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,22936
21/22,Kole Meyer,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,3971
21/22,Kole Meyer,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Farming Equipment and Technology Fund,,N/a,21966
21/22,Konnor Barrett,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,6278
21/22,Konnor Barrett,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,24464
